選出,試合数,勝率(%)
手のひら / 団扇 / 紙,456,37.9
粉砕 / 山嵐 / 器,456,37.9
粉砕 / 石 / バラ,456,37.8
粉砕 / 魔球 / はさみ,456,37.7
堅牢 / 石 / ゴースト,456,37.7
一閃 / 団扇 / 紙,456,37.6
鉄拳 / 一閃 / 団扇,456,37.2
粉砕 / 魔球 / 一閃,456,37.1
魔球 / ゴースト / 器,456,37.1
鉄拳 / 一閃 / 器,456,36.8
粉砕 / 鉄拳 / ハサミムシ,456,36.7
石 / ゴースト / 団扇,456,36.7
一閃 / はさみ / ゴースト,456,36.7
粉砕 / ハサミムシ / 器,456,36.3
鉄拳 / バラ / はさみ,456,36.2
バラ / 手のひら / 紙,456,36.0
山嵐 / ゴースト / 器,456,35.9
粉砕 / ハサミムシ / 一閃,456,35.7
鉄拳 / 一閃 / ゴースト,456,35.7
魔球 / 堅牢 / ゴースト,456,35.7
粉砕 / 山嵐 / 一閃,456,35.6
鉄拳 / 堅牢 / 器,456,35.5
粉砕 / ハサミムシ / ゴースト,456,35.4
ハサミムシ / 器 / 団扇,456,35.4
鉄拳 / 堅牢 / 石,456,35.3
ハサミムシ / 一閃 / 団扇,456,35.2
粉砕 / バラ / 手のひら,456,35.1
はさみ / ゴースト / 団扇,456,35.1
一閃 / ゴースト / 紙,456,35.0
手のひら / ゴースト / 団扇,456,35.0
手のひら / 器 / 紙,456,35.0
鉄拳 / 魔球 / バラ,456,34.8
ハサミムシ / 山嵐 / バラ,456,34.3
山嵐 / バラ / 器,456,34.3
山嵐 / バラ / 団扇,456,34.3
粉砕 / はさみ / ゴースト,456,34.2
粉砕 / 魔球 / 団扇,456,34.2
一閃 / はさみ / 団扇,456,34.1
ハサミムシ / 一閃 / はさみ,456,33.9
バラ / 団扇 / 紙,456,33.8
ハサミムシ / バラ / はさみ,456,33.6
粉砕 / 一閃 / はさみ,456,33.2
粉砕 / はさみ / 器,456,33.2
粉砕 / 手のひら / ゴースト,456,33.2
バラ / 手のひら / 団扇,456,32.9
鉄拳 / バラ / 器,456,32.7
バラ / 一閃 / 手のひら,456,32.7
バラ / 手のひら / ゴースト,456,32.7
ハサミムシ / ゴースト / 団扇,456,32.6
粉砕 / 堅牢 / 団扇,456,32.1
バラ / はさみ / 団扇,456,32.1
はさみ / 器 / 団扇,456,31.8
粉砕 / 石 / 団扇,456,31.8
一閃 / はさみ / 器,456,31.7
粉砕 / 魔球 / 器,456,31.4
堅牢 / ゴースト / 団扇,456,31.4
粉砕 / 鉄拳 / 山嵐,456,31.0
鉄拳 / 器 / 団扇,456,31.0
一閃 / 器 / 紙,456,30.9
粉砕 / 魔球 / バラ,456,30.6
粉砕 / ハサミムシ / バラ,456,30.6
粉砕 / 堅牢 / 石,456,30.5
はさみ / ゴースト / 器,456,30.5
ハサミムシ / 一閃 / ゴースト,456,30.4
一閃 / 手のひら / 器,456,30.4
粉砕 / 器 / 紙,456,29.9
粉砕 / 手のひら / 団扇,456,29.8
手のひら / ゴースト / 器,456,29.8
粉砕 / バラ / 紙,456,29.7
鉄拳 / バラ / 団扇,456,29.7
堅牢 / ゴースト / 器,456,29.6
鉄拳 / 石 / ゴースト,456,29.4
ハサミムシ / 一閃 / 器,456,29.4
バラ / ゴースト / 紙,456,29.3
ゴースト / 団扇 / 紙,456,29.2
バラ / はさみ / 器,456,29.1
粉砕 / 石 / 器,456,28.9
粉砕 / 団扇 / 紙,456,28.5
鉄拳 / ゴースト / 団扇,456,28.4
粉砕 / 魔球 / 石,456,28.3
バラ / はさみ / ゴースト,456,28.3
鉄拳 / 魔球 / 石,456,28.2
手のひら / 器 / 団扇,456,28.1
粉砕 / 手のひら / 器,456,28.0
鉄拳 / 魔球 / ゴースト,456,28.0
粉砕 / 堅牢 / 器,456,27.9
鉄拳 / バラ / ゴースト,456,27.7
ハサミムシ / ゴースト / 器,456,27.7
粉砕 / 山嵐 / ゴースト,456,27.4
粉砕 / ゴースト / 紙,456,27.4
山嵐 / バラ / ゴースト,456,27.3
粉砕 / 山嵐 / バラ,456,27.0
鉄拳 / 魔球 / 堅牢,456,27.0
バラ / 一閃 / 紙,456,27.0
鉄拳 / バラ / 一閃,456,26.6
器 / 団扇 / 紙,456,26.5
粉砕 / 鉄拳 / はさみ,456,26.4
バラ / 器 / 紙,456,26.3
粉砕 / 一閃 / 団扇,456,26.2
山嵐 / バラ / 一閃,456,26.2
鉄拳 / 堅牢 / ゴースト,456,25.8
ハサミムシ / バラ / 団扇,456,25.8
粉砕 / バラ / はさみ,456,25.3
ハサミムシ / バラ / 一閃,456,25.3
粉砕 / 一閃 / ゴースト,456,25.2
粉砕 / 鉄拳 / 石,456,24.7
バラ / 手のひら / 器,456,24.2
バラ / 一閃 / はさみ,456,24.1
粉砕 / 魔球 / 堅牢,456,23.9
一閃 / ゴースト / 器,456,23.9
鉄拳 / ゴースト / 器,456,23.8
一閃 / ゴースト / 団扇,456,23.1
ゴースト / 器 / 紙,456,22.6
粉砕 / 鉄拳 / 団扇,456,22.4
ハサミムシ / バラ / 器,456,21.8
バラ / 一閃 / ゴースト,456,21.6
一閃 / 器 / 団扇,456,21.3
粉砕 / 鉄拳 / 一閃,456,21.1
粉砕 / 魔球 / ゴースト,456,19.7
バラ / 器 / 団扇,456,18.9
粉砕 / 鉄拳 / バラ,456,18.6
ハサミムシ / バラ / ゴースト,456,18.5
粉砕 / 一閃 / 器,456,18.4
粉砕 / 石 / ゴースト,456,18.4
粉砕 / 鉄拳 / 堅牢,456,17.2
粉砕 / 器 / 団扇,456,16.2
粉砕 / バラ / 器,456,16.1
バラ / ゴースト / 団扇,456,15.8
粉砕 / 鉄拳 / 器,456,15.5
バラ / 一閃 / 団扇,456,15.5
粉砕 / 堅牢 / ゴースト,456,15.4
粉砕 / バラ / 団扇,456,15.4
粉砕 / ゴースト / 団扇,456,15.1
バラ / 一閃 / 器,456,14.7
粉砕 / バラ / 一閃,456,14.6
バラ / ゴースト / 器,456,14.6
ゴースト / 器 / 団扇,456,14.0
粉砕 / 鉄拳 / 魔球,456,13.8
粉砕 / バラ / ゴースト,456,13.2
粉砕 / ゴースト / 器,456,9.3
粉砕 / 鉄拳 / ゴースト,456,8.1
